code,fund_sum
300873.XSHE,1.4214685875
300881.XSHE,0.0001791978
300882.XSHE,0.000199628
300886.XSHE,0.0001238826
300887.XSHE,4.183730884
300889.XSHE,0.000232794
300892.XSHE,0.0002495872
300893.XSHE,0.00018480959999999999
300894.XSHE,0.885328835
300895.XSHE,0.000231268
300896.XSHE,28.5652770279
300898.XSHE,0.0003596992
300900.XSHE,0.0006996983999999999
300902.XSHE,0.0002596312
300907.XSHE,0.0005566264
300908.XSHE,0.033527662800000003
300910.XSHE,0.00037150000000000003
300911.XSHE,1.9877599295
300915.XSHE,0.0063811200000000005
300917.XSHE,0.1716997275
300919.XSHE,0.0721512127
300957.XSHE,34.53480708
300958.XSHE,8.097e-05
300960.XSHE,5.30946e-05
300961.XSHE,0.00035757799999999994
300962.XSHE,0.00043190369999999994
300963.XSHE,7.68345e-05
300966.XSHE,0.0003638573
300967.XSHE,0.00072471
300968.XSHE,0.00030119040000000004
300973.XSHE,3.1420882349999997
300977.XSHE,0.462919725
300979.XSHE,33.1142435144
300981.XSHE,0.0037449676000000003
300982.XSHE,0.30888687790000013
300985.XSHE,9.0978e-05
300986.XSHE,1.2996872382000002
300987.XSHE,0.00026686980000000004
300991.XSHE,0.00014406950000000001
300993.XSHE,0.000131802
300994.XSHE,0.17707353120000002
300995.XSHE,0.0001036366
300996.XSHE,0.0001112838
300997.XSHE,0.0002138288
300998.XSHE,4.677270000000001e-05
300999.XSHE,2.0220447456
301002.XSHE,0.6758648483999999
301004.XSHE,0.00010293209999999999
301006.XSHE,0.019577550999999995
301007.XSHE,3.7683000000000005e-05
301009.XSHE,0.00034368150000000004
301011.XSHE,0.045806919
301012.XSHE,0.00017861340000000005
301013.XSHE,0.0010390098
301015.XSHE,0.0004200744
301018.XSHE,0.0001160488
301020.XSHE,0.0001025977
301021.XSHE,4.1904200000000004e-05
301029.XSHE,0.5798644383
301030.XSHE,4.76498e-05
301031.XSHE,0.0013418
301032.XSHE,4.9694399999999996e-05
301033.XSHE,4.57596e-05
301035.XSHE,9.318226209799999
301039.XSHE,0.0045630912
301046.XSHE,0.00034452
301047.XSHE,0.10302431000000001
301050.XSHE,1.6024877482
301057.XSHE,0.0008236334
